name,type,notranslate,comment,value,en
"settingsfo,tlayouter1,templatedir,controller.captionopen",vaString,F,,Project template directory
"settingsfo,tlayouter1,syntaxdefdir,hint",vaString,F,,Directory for syntax definition files.
"settingsfo,tlayouter1,syntaxdefdir,controller.filterlist.data,0:,0:",vaString,F,,Syntax definitions
"settingsfo,tlayouter1,syntaxdefdir,controller.captionopen",vaString,F,,Directory for syntax definition files
"settingsfo,tlayouter1,mselibdir,hint",vaString,F,,Root directory of MSEgui library.
"settingsfo,tlayouter1,mselibdir,controller.captionopen",vaString,F,,MSEgui library directory
"settingsfo,tlayouter1,msedir,hint",vaString,F,,Root directory of MSEgui.
"settingsfo,tlayouter1,msedir,controller.captionopen",vaString,F,,MSEgui root directory
"settingsfo,tlayouter1,fpclibdir,hint",vaString,F,,Root directory of FPC library (not used by the default project templates).
"settingsfo,tlayouter1,fpclibdir,controller.captionopen",vaString,F,,FPC library directory
"settingsfo,tlayouter1,fpcdir,hint",vaString,F,,Root directory of Free Pascal system (not used by the default project templates).
"settingsfo,tlayouter1,fpcdir,controller.captionopen",vaString,F,,FPC root directory
"settingsfo,macrogrid,frame.caption",vaString,F,,Global Macros
"settingsfo,macrogrid,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Name
"settingsfo,macrogrid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,Value
