name,type,notranslate,comment,value,en
"symbolfo,grid,fixrows.items,0:,captions.items,2:,caption",vaString,F,,Info
"symbolfo,tpopupmenu1,menu.submenu.items,0:,caption",vaString,F,,Delete all
"symbolfo,c,strings.data,0:",vaString,F,,GDB not active.
"symbolfo,c,strings.data,1:",vaString,F,,Do you wish to delete all symbols?
"storedcomponentinfodialogfo,tbutton1,caption",vaString,F,,&OK
"storedcomponentinfodialogfo,tbutton2,caption",vaString,F,,&Cancel
"storedcomponentinfodialogfo,filepath,frame.caption",vaString,F,,&File
"storedcomponentinfodialogfo,filepath,controller.filterlist.data,0:,0:",vaString,F,,Component File
"storedcomponentinfodialogfo,filepath,controller.filterlist.data,1:,0:",vaString,F,,All Files
"storedcomponentinfodialogfo,filepath,controller.captionsave",vaString,F,,Component File
"storedcomponentinfodialogfo,compname,frame.caption",vaString,F,,&Name
"storedcomponentinfodialogfo,compdesc,frame.caption",vaString,F,,&Description
"stackfo,dragdock.caption",vaString,F,,Stack
"stackfo,caption",vaString,F,,Stack
"stackfo,tpopupmenu1,menu.submenu.items,0:,caption",vaString,F,,Copy to Clipboard
"sourcefo,dragdock.caption",vaString,F,,Source
"sourcefo,caption",vaString,F,,<none>
"sourcefo,tabwidget,tstockglyphbutton1,hint",vaString,F,,Step back in code navigation
"sourcefo,tabwidget,tstockglyphbutton2,hint",vaString,F,,Step forward in code navigation
"sourcefo,formpopup,menu.submenu.items,0:,caption",vaString,F,,Select Page
"sourcefo,formpopup,menu.submenu.items,1:,caption",vaString,F,,&Open File
"sourcefo,formpopup,menu.submenu.items,2:,caption",vaString,F,,&Close File
"sourcefo,formpopup,menu.submenu.items,3:,caption",vaString,F,,&Save File
"sourcefo,formpopup,menu.submenu.items,5:,caption",vaString,F,,Show as Form
"sourcefo,formpopup,menu.submenu.items,17:,submenu.items,7:,caption",vaString,F,,Convert to &Pascal string
"sourcefo,formpopup,menu.submenu.items,17:,caption",vaString,F,,&Modify Selection
"sourcefo,formpopup,menu.submenu.items,21:,caption",vaString,F,,&Edit breakpoint
"sourcefo,formpopup,menu.submenu.items,22:,caption",vaString,F,,Add &Watch at Cursor
"sourcefo,formpopup,menu.submenu.items,23:,caption",vaString,F,,Set Bookmark
"sourcefo,formpopup,menu.submenu.items,24:,caption",vaString,F,,Find Bookmark
"sourcefo,formpopup,menu.submenu.items,26:,caption",vaString,F,,Insert GUID
"sourcefo,formpopup,menu.submenu.items,27:,caption",vaString,F,,Insert UID
"sourcefo,formpopup,menu.submenu.items,28:,caption",vaString,F,,Insert Template
"sourcefo,formpopup,menu.submenu.items,29:,caption",vaString,F,,Complete Class at Cursor
"sourcefo,completeclassact,caption",vaString,F,,Complete class at cursor
"sourcefo,c,strings.data,0:",vaString,F,,"File """
"sourcefo,c,strings.data,1:",vaString,F,,""" has changed."
"sourcefo,c,strings.data,2:",vaString,F,,There are modifications in edit buffer also.
"sourcefo,c,strings.data,3:",vaString,F,,Do you wish to reload from disk?
"sourcefo,c,strings.data,4:",vaString,F,,Confirmation
"sourcefo,c,strings.data,5:",vaString,F,,<none>
"sourcefo,c,strings.data,6:",vaString,F,,Do you wish to replace:
"sourcefo,c,strings.data,7:",vaString,F,,with:
"sourcefo,c,strings.data,8:",vaString,F,,<new>
"sourcefo,c,strings.data,9:",vaString,F,,Syntaxdeffile:
"sourcefo,c,strings.data,10:",vaString,F,,Text
"sourcefo,c,strings.data,11:",vaString,F,,not found.
"sourcefo,c,strings.data,12:",vaString,F,,Restart from begin of file?
"sourcefo,c,strings.data,13:",vaString,F,,Cancel?
"sourcefo,c,strings.data,14:",vaString,F,,Do you wish to to replace this occurence?
"sourcefo,c,strings.data,15:",vaString,F,,Go to line number:
"sourcefo,c,strings.data,16:",vaString,F,,Find line
"sourcefo,c,strings.data,17:",vaString,F,,There are modifications in edit buffer also.
"sourcefo,c,strings.data,18:",vaString,F,,Restart from end of file?
"settaborderfo,caption",vaString,F,,Set Tab Order
"settaborderfo,ok,caption",vaString,F,,OK
"settaborderfo,cancel,caption",vaString,F,,Cancel
"settaborderfo,start,caption",vaString,F,,&Start
"settaborderfo,stop,caption",vaString,F,,St&op
"settaborderfo,tlabel1,caption",vaString,F,,Mouse click
"setcreateorderfo,grid,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Name
"setcreateorderfo,grid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,Class
"setcreateorderfo,grid,fixrows.items,0:,captionsfix.items,0:,caption",vaString,F,,Order
"setcreateorderfo,tbutton1,caption",vaString,F,,&OK
"setcreateorderfo,tbutton2,caption",vaString,F,,&Cancel
"setcreateorderfo,c,strings.data,0:",vaString,F,,Set Component create Order of
"selectsubmoduledialogfo,caption",vaString,F,,Select subform
"selectsubmoduledialogfo,ok,caption",vaString,F,,OK
"selectsubmoduledialogfo,cancel,caption",vaString,F,,Cancel
"selecteditpagefo,caption",vaString,F,,Select edit page (Ctrl+E)
"selecteditpagefo,openfilebutton,caption",vaString,F,,&Open
"reportdesignerfo,xdisp,format",vaString,F,,0.0mm
"reportdesignerfo,tpopupmenu3,menu.submenu.items,0:,caption",vaString,F,,Show objectinspector
